Sample	Sample	sample
Barcode	Barcode	barcode
Analysis	Analysis	analysis
Run	Run	run
Tissue.Type	Tissue Type	tissue_type
Tumor.Type	Tumor Type	tumor_type
Concordance	Concordance	concordance
Chrom	Chrom	chrom
Position	Position	position
Ref	Ref	ref
Variant	Variant	variant
Gene	Gene	gene
Quality	Quality	quality
Coverage	Coverage	coverage
Allele.Coverage	Allele Coverage	allele_coverage
Strand.Bias	Strand Bias	strand_bias
Coding	Coding	coding
Amino.Acid.Change	Amino Acid Change	amino_acid_change
Transcript	Transcript	transcript
Frequency	Frequency	frequency
Review	Review	review
Date	Date	date
Git.Commit	Git Commit	git_commit
Git.Branch	Git Branch	git_branch
Git.Remote.URL	Git Remote URL	git_remote_url

